"","Month","Team.A","Team.B","RF Team.A.Win","Prob % RF Team.A.Win","Prob % LR Team.A.Win","LR Team.A.Win"
"1","30-May","England"," South Africa",1,0.68888889,0.55938385375312,1
"2","31-May","Pakistan"," West Indies",1,0.82222222,0.77226611929926,1
"3","01-Jun","New Zealand"," Sri Lanka",1,0.82222222,0.683594093046014,1
"4","02-Jun","Bangladesh"," South Africa",0,0.42222222,0.290499998647859,0
"5","03-Jun","England"," Pakistan",1,0.95555556,0.686662222643734,1
"6","05-Jun","India"," South Africa",1,0.77777778,0.621156672375706,1
"7","05-Jun","Bangladesh"," New Zealand",1,0.62222222,0.486001031850417,0
"8","06-Jun","Australia"," West Indies",1,0.86666667,0.896962596914362,1
"9","07-Jun","Pakistan ","Sri Lanka",1,0.77777778,0.536952532948683,1
"10","08-Jun","England ","Bangladesh",1,0.93333333,0.882353763599349,1
"11","09-Jun","India ","Australia",1,0.84444444,0.636398494646365,1
"12","10-Jun","South Africa ","West Indies",1,0.88888889,0.860955717167165,1
"13","11-Jun","Bangladesh ","Sri Lanka",0,0.44444444,0.370970265132437,0
"14","12-Jun","Australia ","Pakistan",1,0.8,0.781059165167493,1
"15","13-Jun","India ","New Zealand",1,0.84444444,0.791073277233235,1
"16","14-Jun","England ","West Indies",1,0.95555556,0.842458231727439,1
"17","15-Jun","Sri Lanka ","Australia",0,0.26666667,0.480082848688863,0
"18","16-Jun","India ","Pakistan",1,0.88888889,0.738919365722136,1
"19","17-Jun","West Indies ","Bangladesh",0,0.46666667,0.725505950968945,1
"20","19-Jun","New Zealand ","South Africa",0,0.42222222,0.599993517010117,1
"21","20-Jun","Australia ","Bangladesh",1,0.8,0.92429587502877,1
"22","21-Jun","England ","Sri Lanka",1,0.88888889,0.646470845757597,1
"23","22-Jun","West Indies ","New Zealand",0,0.35555556,0.508158526643215,1
"24","23-Jun","Pakistan ","South Africa",0,0.48888889,0.446006313820056,0
"25","25-Jun","England ","Australia",1,0.97777778,0.57541215689658,1
"26","26-Jun","New Zealand ","Pakistan",1,0.93333333,0.721383978065503,1
"27","27-Jun","West Indies ","India",0,0.06666667,0.306551694147918,0
"28","28-Jun","Sri Lanka ","South Africa",0,0.33333333,0.463809249490697,0
"29","29-Jun","New Zealand ","Australia",1,0.93333333,0.615559817109842,1
"30","30-Jun","England ","India",1,0.64444444,0.556428815902103,1
"31","01-Jul","Sri Lanka ","West Indies",1,0.77777778,0.784646937108357,1
"32","02-Jul","Bangladesh ","India",0,0.11111111,0.288036833920728,0
"33","03-Jul","England ","New Zealand",1,0.8,0.745661986668852,1
"34","05-Jul","Pakistan ","Bangladesh",1,0.77777778,0.826271392122141,1
"35","06-Jul","Sri Lanka ","India",0,0.06666667,0.460831047996987,0
"36","06-Jul","Australia ","South Africa",1,0.51111111,0.673916003987844,1
"37","06-Jul","England","England",1,0.68888889,0.609670426942665,1
